               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.057208,            0.011391,            0.033034,             0.39483,                   1,             0.58013,             0.15904,            0.045001,           0.0091083,            0.024403,            0.018332,           0.0073316,           0.0073316
                  90,            0.060366,            0.017929,            0.032073,             0.39483,                   1,             0.58013,             0.15904,            0.045001,           0.0091083,            0.024403,            0.017396,           0.0073962,           0.0073962
                  91,            0.061067,             0.01683,            0.032676,              0.4592,             0.85056,              0.7675,             0.47069,            0.044125,           0.0085704,            0.023975,             0.01646,           0.0074604,           0.0074604
                  92,            0.063731,            0.018617,            0.030546,              0.4592,             0.85056,              0.7675,             0.47069,            0.044125,           0.0085704,            0.023975,            0.015524,           0.0075241,           0.0075241
                  93,            0.070331,            0.018326,            0.036704,              0.4592,             0.85056,              0.7675,             0.47069,            0.044125,           0.0085704,            0.023975,            0.014587,           0.0075875,           0.0075875
                  94,             0.06573,            0.014452,            0.031793,              0.4592,             0.85056,              0.7675,             0.47069,            0.044125,           0.0085704,            0.023975,             0.01365,           0.0076505,           0.0076505
                  95,            0.066775,            0.012805,            0.033823,             0.23224,                 0.7,             0.55269,             0.20798,            0.049315,           0.0081985,            0.023236,            0.012713,           0.0077131,           0.0077131
                  96,            0.065719,            0.015606,            0.033749,             0.23224,                 0.7,             0.55269,             0.20798,            0.049315,           0.0081985,            0.023236,            0.011775,           0.0077752,           0.0077752
                  97,            0.054949,            0.015903,            0.034219,             0.23224,                 0.7,             0.55269,             0.20798,            0.049315,           0.0081985,            0.023236,            0.010837,            0.007837,            0.007837
                  98,            0.070704,             0.01795,             0.03405,             0.23224,                 0.7,             0.55269,             0.20798,            0.049315,           0.0081985,            0.023236,           0.0098984,           0.0078984,           0.0078984
                  99,            0.065166,              0.0184,              0.0306,             0.41035,                 0.7,              0.7306,             0.37829,            0.051837,           0.0077198,            0.022775,           0.0089594,           0.0079594,           0.0079594
                 100,            0.073534,            0.015676,            0.034274,             0.41035,                 0.7,              0.7306,             0.37829,            0.051837,           0.0077198,            0.022775,             0.00802,             0.00802,             0.00802
                 101,            0.066846,            0.013515,            0.032594,             0.41035,                 0.7,              0.7306,             0.37829,            0.051837,           0.0077198,            0.022775,             0.00802,             0.00802,             0.00802
                 102,            0.068668,            0.015331,            0.033316,             0.41035,                 0.7,              0.7306,             0.37829,            0.051837,           0.0077198,            0.022775,           0.0080002,           0.0080002,           0.0080002
                 103,            0.067793,            0.017442,            0.034457,             0.84236,              0.4379,             0.59946,             0.20064,            0.045874,           0.0076077,            0.022406,           0.0079804,           0.0079804,           0.0079804
                 104,            0.061566,            0.016653,            0.032927,             0.84236,              0.4379,             0.59946,             0.20064,            0.045874,           0.0076077,            0.022406,           0.0079606,           0.0079606,           0.0079606
                 105,            0.065102,            0.017786,            0.036732,             0.84236,              0.4379,             0.59946,             0.20064,            0.045874,           0.0076077,            0.022406,           0.0079408,           0.0079408,           0.0079408
                 106,            0.059413,            0.013411,            0.042358,             0.84236,              0.4379,             0.59946,             0.20064,            0.045874,           0.0076077,            0.022406,            0.007921,            0.007921,            0.007921
                 107,             0.06131,            0.017159,            0.030217,             0.32278,                 0.8,             0.63152,             0.34614,            0.032984,           0.0076861,            0.022036,           0.0079012,           0.0079012,           0.0079012
                 108,            0.054962,            0.016477,            0.035098,             0.32278,                 0.8,             0.63152,             0.34614,            0.032984,           0.0076861,            0.022036,           0.0078814,           0.0078814,           0.0078814
                 109,            0.051242,            0.017744,             0.03046,             0.32278,                 0.8,             0.63152,             0.34614,            0.032984,           0.0076861,            0.022036,           0.0078616,           0.0078616,           0.0078616
                 110,            0.059813,            0.019661,            0.031952,             0.32278,                 0.8,             0.63152,             0.34614,            0.032984,           0.0076861,            0.022036,           0.0078418,           0.0078418,           0.0078418
                 111,            0.053043,            0.015822,            0.036217,             0.40659,                   1,             0.67958,             0.34549,            0.034589,           0.0074177,            0.021919,            0.007822,            0.007822,            0.007822
                 112,            0.055076,              0.0145,            0.031777,             0.40659,                   1,             0.67958,             0.34549,            0.034589,           0.0074177,            0.021919,           0.0078022,           0.0078022,           0.0078022
                 113,            0.053345,            0.015338,            0.032231,             0.40659,                   1,             0.67958,             0.34549,            0.034589,           0.0074177,            0.021919,           0.0077824,           0.0077824,           0.0077824
                 114,            0.060515,            0.016646,            0.036017,             0.40659,                   1,             0.67958,             0.34549,            0.034589,           0.0074177,            0.021919,           0.0077626,           0.0077626,           0.0077626
                 115,            0.061742,            0.020508,            0.033415,             0.26857,                 0.8,              0.6575,             0.40269,            0.030102,           0.0076265,            0.021725,           0.0077428,           0.0077428,           0.0077428
                 116,            0.054121,            0.018639,            0.033635,             0.26857,                 0.8,              0.6575,             0.40269,            0.030102,           0.0076265,            0.021725,            0.007723,            0.007723,            0.007723
                 117,            0.049171,            0.018451,            0.034144,             0.26857,                 0.8,              0.6575,             0.40269,            0.030102,           0.0076265,            0.021725,           0.0077032,           0.0077032,           0.0077032
                 118,            0.052771,            0.018109,            0.034855,             0.26857,                 0.8,              0.6575,             0.40269,            0.030102,           0.0076265,            0.021725,           0.0076834,           0.0076834,           0.0076834
                 119,            0.055431,            0.016037,            0.034613,             0.28877,                   1,             0.65333,             0.32365,            0.031351,           0.0074564,            0.021498,           0.0076636,           0.0076636,           0.0076636
                 120,            0.051529,            0.016501,            0.032102,             0.28877,                   1,             0.65333,             0.32365,            0.031351,           0.0074564,            0.021498,           0.0076438,           0.0076438,           0.0076438
                 121,            0.052788,            0.015754,            0.031364,             0.28877,                   1,             0.65333,             0.32365,            0.031351,           0.0074564,            0.021498,            0.007624,            0.007624,            0.007624
                 122,            0.046904,            0.013206,            0.028927,             0.28877,                   1,             0.65333,             0.32365,            0.031351,           0.0074564,            0.021498,           0.0076042,           0.0076042,           0.0076042
                 123,            0.051693,            0.014159,            0.031807,             0.25252,                 0.8,             0.65889,             0.45866,            0.040855,           0.0069648,            0.021725,           0.0075844,           0.0075844,           0.0075844
                 124,            0.051241,            0.015398,            0.032511,             0.25252,                 0.8,             0.65889,             0.45866,            0.040855,           0.0069648,            0.021725,           0.0075646,           0.0075646,           0.0075646
                 125,             0.05354,            0.014546,            0.032421,             0.25252,                 0.8,             0.65889,             0.45866,            0.040855,           0.0069648,            0.021725,           0.0075448,           0.0075448,           0.0075448
                 126,            0.051432,            0.015947,            0.031228,             0.25252,                 0.8,             0.65889,             0.45866,            0.040855,           0.0069648,            0.021725,            0.007525,            0.007525,            0.007525
                 127,            0.051174,            0.014845,            0.033383,             0.20825,                 0.8,             0.61875,             0.34821,            0.031045,           0.0074722,            0.021608,           0.0075052,           0.0075052,           0.0075052
                 128,            0.051338,            0.016591,            0.032438,             0.20825,                 0.8,             0.61875,             0.34821,            0.031045,           0.0074722,            0.021608,           0.0074854,           0.0074854,           0.0074854
                 129,            0.053248,            0.017668,             0.03068,             0.20825,                 0.8,             0.61875,             0.34821,            0.031045,           0.0074722,            0.021608,           0.0074656,           0.0074656,           0.0074656
                 130,            0.048595,            0.015056,            0.031602,             0.20825,                 0.8,             0.61875,             0.34821,            0.031045,           0.0074722,            0.021608,           0.0074458,           0.0074458,           0.0074458
                 131,             0.04929,            0.014914,             0.03063,             0.29142,                 0.8,             0.68993,             0.42198,            0.043173,           0.0070207,            0.021757,            0.007426,            0.007426,            0.007426
                 132,            0.061486,              0.0177,            0.031115,             0.29142,                 0.8,             0.68993,             0.42198,            0.043173,           0.0070207,            0.021757,           0.0074062,           0.0074062,           0.0074062
                 133,            0.061908,             0.01235,             0.03254,             0.29142,                 0.8,             0.68993,             0.42198,            0.043173,           0.0070207,            0.021757,           0.0073864,           0.0073864,           0.0073864
                 134,            0.064996,            0.017137,            0.031809,             0.29142,                 0.8,             0.68993,             0.42198,            0.043173,           0.0070207,            0.021757,           0.0073666,           0.0073666,           0.0073666
                 135,            0.064427,            0.014919,            0.030328,              0.4063,                 0.9,             0.67073,              0.3317,            0.029496,            0.007254,            0.021627,           0.0073468,           0.0073468,           0.0073468
                 136,             0.04932,              0.0155,            0.029724,              0.4063,                 0.9,             0.67073,              0.3317,            0.029496,            0.007254,            0.021627,            0.007327,            0.007327,            0.007327
                 137,            0.053103,            0.016308,            0.030615,              0.4063,                 0.9,             0.67073,              0.3317,            0.029496,            0.007254,            0.021627,           0.0073072,           0.0073072,           0.0073072
                 138,            0.052995,            0.017482,            0.032453,              0.4063,                 0.9,             0.67073,              0.3317,            0.029496,            0.007254,            0.021627,           0.0072874,           0.0072874,           0.0072874
                 139,            0.046541,             0.01603,            0.030372,             0.50002,             0.85925,             0.68512,             0.46969,            0.039294,           0.0066733,             0.02131,           0.0072676,           0.0072676,           0.0072676
                 140,            0.057116,            0.013606,            0.030947,             0.50002,             0.85925,             0.68512,             0.46969,            0.039294,           0.0066733,             0.02131,           0.0072478,           0.0072478,           0.0072478
                 141,            0.060878,            0.013019,            0.031374,             0.50002,             0.85925,             0.68512,             0.46969,            0.039294,           0.0066733,             0.02131,            0.007228,            0.007228,            0.007228
                 142,            0.053295,              0.0152,            0.029469,             0.50002,             0.85925,             0.68512,             0.46969,            0.039294,           0.0066733,             0.02131,           0.0072082,           0.0072082,           0.0072082
                 143,            0.064444,             0.01477,            0.032327,             0.48877,             0.97904,             0.72028,             0.52434,             0.02789,           0.0070534,             0.02129,           0.0071884,           0.0071884,           0.0071884
                 144,            0.045185,            0.014044,            0.032804,             0.48877,             0.97904,             0.72028,             0.52434,             0.02789,           0.0070534,             0.02129,           0.0071686,           0.0071686,           0.0071686
                 145,             0.04139,            0.013499,             0.02972,             0.48877,             0.97904,             0.72028,             0.52434,             0.02789,           0.0070534,             0.02129,           0.0071488,           0.0071488,           0.0071488
                 146,            0.045681,            0.016642,             0.03162,             0.48877,             0.97904,             0.72028,             0.52434,             0.02789,           0.0070534,             0.02129,            0.007129,            0.007129,            0.007129
                 147,            0.044952,            0.017242,            0.031715,             0.47228,                   1,             0.72873,             0.38897,            0.032412,           0.0069205,            0.021173,           0.0071092,           0.0071092,           0.0071092
                 148,             0.04925,            0.017636,            0.030704,             0.47228,                   1,             0.72873,             0.38897,            0.032412,           0.0069205,            0.021173,           0.0070894,           0.0070894,           0.0070894
                 149,            0.044329,            0.016836,            0.029658,             0.47228,                   1,             0.72873,             0.38897,            0.032412,           0.0069205,            0.021173,           0.0070696,           0.0070696,           0.0070696
                 150,            0.047285,            0.012652,            0.031574,             0.47228,                   1,             0.72873,             0.38897,            0.032412,           0.0069205,            0.021173,           0.0070498,           0.0070498,           0.0070498
                 151,            0.042339,            0.017213,            0.031517,              0.3914,             0.91031,              0.6925,             0.44052,            0.032083,           0.0067278,            0.020921,             0.00703,             0.00703,             0.00703
                 152,            0.051432,            0.015154,            0.031764,              0.3914,             0.91031,              0.6925,             0.44052,            0.032083,           0.0067278,            0.020921,           0.0070102,           0.0070102,           0.0070102
                 153,            0.052252,            0.014699,            0.030816,              0.3914,             0.91031,              0.6925,             0.44052,            0.032083,           0.0067278,            0.020921,           0.0069904,           0.0069904,           0.0069904
                 154,            0.048579,            0.014979,            0.029305,              0.3914,             0.91031,              0.6925,             0.44052,            0.032083,           0.0067278,            0.020921,           0.0069706,           0.0069706,           0.0069706
                 155,            0.047053,            0.015598,            0.029047,             0.33968,                   1,             0.61613,             0.27877,            0.034463,            0.007033,            0.020849,           0.0069508,           0.0069508,           0.0069508
                 156,            0.051562,            0.014645,            0.030081,             0.33968,                   1,             0.61613,             0.27877,            0.034463,            0.007033,            0.020849,            0.006931,            0.006931,            0.006931
                 157,            0.057825,            0.014932,            0.029356,             0.33968,                   1,             0.61613,             0.27877,            0.034463,            0.007033,            0.020849,           0.0069112,           0.0069112,           0.0069112
                 158,            0.059023,            0.019281,            0.030415,             0.33968,                   1,             0.61613,             0.27877,            0.034463,            0.007033,            0.020849,           0.0068914,           0.0068914,           0.0068914
